SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,#of beacones,threshold,IdelTime(tenths of a second)
 bmuta,16,128,102,361231,458698,529252,124,16636,323297,727627,70528.0521,,,
,,,,,,,,,,,,,,
 bmuta,16,128,102,361231,458656,530335,125,16636,324383,722301,65770.0216,,,
,,,,,,,,,,,,,,
 bmuta,16,128,102,361231,458801,530563,124,16636,322238,722300,70091.2493,,,
,,,,,,,,,,,,,,
 bmuta,16,128,122,361231,509115,773789,134,16636,351569,733472,12963.6831,,,
,,,,,,,,,,,,,,
 bmuta,16,128,95,361231,454002,520508,123,16636,322812,727883,77579.2973,,,
,,,,,,,,,,,,32,16,80
 bmuta,= 16,= 128,123,361231,494199,697965,125,16636,324900,733477,90464.9799

 bmuta,= 16,= 128,103,361231,459506,531719,124,16636,322408,722844,67080.43

 bmuta,= 16,= 128,115,361231,485518,678873,126,16636,326111,728208,13494.0865

 bmuta,= 16,= 128,122,361231,493687,697759,127,16636,328136,720840,13322.4854

 bmuta,= 16,= 128,121,361231,491948,695860,127,16636,329179,727293,58687.5762

 bmuta,= 16,= 128,98,361231,455977,524949,125,16636,327252,723708,68702.8404

 bmuta,= 16,= 128,101,361231,462246,534931,119,16636,312336,724019,67985.2358

 bmuta,= 16,= 128,103,361231,459454,530492,128,16636,332347,730588,104380.2691

 bmuta,= 16,= 128,120,361231,503658,757280,126,16636,326311,722462,15849.7016

 bmuta,= 16,= 128,101,361231,458390,529208,126,16636,327869,728027,57564.369

 bmuta,= 16,= 128,119,361231,488498,692122,126,16636,326317,731998,68890.0416

 bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 16,= 32,26,301740,438651,720084,28,10126,321077,658939,16629.7066

 bmuta,= 16,= 64,57,364084,553224,724760,57,6509,492763,719861,15428.4989

 bmuta,= 32,= 32,32,282087,311909,334049,32,2581,187957,326956,14414.4924

 bmuta,= 32,= 64,64,156475,252201,362940,64,22110,220907,348121,14133.6906

 bmuta,= 16,= 128,120,66743,339478,734917,121,16636,319659,728265,17721.7136

 bmuta,= 16,= 256,236,116924,446042,746163,237,1134,430633,751610,114629.5348

 bmuta,= 16,= 128,127,66743,354358,735579,128,16636,337004,733244,13915.2892

 bmuta,= 16,= 128,122,66743,346849,733066,123,16636,324543,730580,14960.4959

 bmuta,= 32,= 256,255,4495,183950,378965,255,825,175495,376926,17768.5139

 bmuta,= 32,= 2048,1939,823,333281,517268,1986,0,334724,517167,308039.5746

 bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 32,= 2048, bmuta,= 128,= 2096,2096,86941,151084,213653,2096,0,41847,89680,36675.8351

 bmuta,= 128,= 4096,2096,86941,151084,213653,2096,0,41847,89680,43118.6764

 bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096,1567,7226,97081,148046,4096,0,44217,112336,962541.7701

 bmuta,= 128,= 4096,4057,4946,137439,235779,4096,0,64824,196155,589558.9792

 bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096,2090,7226,105024,148081,4096,0,44217,112336,31917.8046

 bmuta,= 128,= 4096,2090,7226,105024,148081,4096,0,44217,112336,38329.4457

 liam,= 128,= 4096,4096,58,96160,199127,4096,58,96160,199127,34913.0238

 bmuta,= 32,= 64,64,358924,363525,368133,64,6489,134791,316514,14024.4899

 bmuta,= 32,= 128,128,358614,368076,377306,128,3092,163571,321424,16426.9053

 bmuta,= 32,= 256,253,358841,374990,388560,256,1,171699,340757,12636.081

 bmuta,= 32,= 256,255,102011,235861,373106,256,1,189817,380758,85940.9509

 bmuta,= 32,= 256,255,102011,235861,373106,256,1,189817,380758,72930.4675

 bmuta,= 32,= 256,255,102011,235861,373106,256,1,189817,380758,80558.9164

 bmuta,= 32,= 256, bmuta,= 32,= 256,255,102011,235861,373106,256,1,189817,380758,114489.1339

 bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, liam,= 32,= 256,256,2923,224697,450759,256,2923,224697,450759,12589.2807

 bmuta,= 32,= 256, bmuta,= 32,= 256,255,102011,235861,373106,256,1,189817,380758,53024.7399

 bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 32,32,359015,361929,364566,32,19880,150559,293832,41121.8636

 bmuta,= 16,= 128,120,81942,436718,729601,121,3710,417547,727248,51839.1323

 bmuta,= 16,= 128,118,81942,439651,734078,118,3710,418360,720329,49592.7179

 bmuta,= 16,= 128,121,81942,444107,734335,121,3710,422752,724071,40497.8596

 bmuta,= 16,= 256,247,45797,384074,755110,248,1339,373986,752613,150618.9655

 bmuta,= 16,= 256, bmuta,= 16,= 256,249,243420,435288,754463,249,1339,335636,751118,75754.0856

 bmuta,= 16,= 256,246,243420,433184,755260,246,1339,331510,748001,61323.9931

 bmuta,= 16,= 256, bmuta,= 16,= 256,238,152644,403796,753311,241,1339,365203,751547,178948.7471

 bmuta,= 16,= 256,236,152644,400823,754044,236,1339,355901,744612,59061.9786

 bmuta,= 16,= 128,109,643151,711620,733188,123,3710,380934,657271,87282.5595

 bmuta,= 32,= 32,32,359015,361929,364566,32,19880,150559,293832,33181.4127

 bmuta,= 32,= 32,32,359015,361929,364566,32,19880,150559,293832,53789.1448

 bmuta,= 16,= 128,116,81942,442248,733489,117,3710,420521,728630,49265.1158

 bmuta,= 16,= 128,119,81942,436943,734215,119,3710,415131,727429,57923.1713

 bmuta,= 16,= 256,238,45797,371202,749287,239,1339,360359,747083,55380.355

 bmuta,= 32,= 128,128,94291,212719,370129,128,3092,174756,350639,57221.1668

 bmuta,= 32,= 256, bmuta,= 32,= 128,128,94291,212719,370129,128,3092,174756,350639,52088.7339

 bmuta,= 32,= 256, bmuta,= 32,= 256, liam,= 32,= 256,255,2396,231044,456048,255,2396,231044,456048,65348.8189

 liam,= 32,= 256, bmuta,= 32,= 256,255,178152,287949,380024,256,1,175136,379687,272206.1449

 bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 16,= 128,108,643151,711324,733325,123,3710,383950,657271,54381.9486

 bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 128,128,358614,368076,377306,128,3092,163571,321424,37065.8376

 bmuta,= 16,= 32,23,716031,718154,719818,30,6078,263265,580444,44054.6824

 bmuta,= 16,= 32,32,69561,400519,720533,32,6078,305249,671641,69997.6487

 bmuta,= 16,= 32,32,69561,400519,720533,32,6078,305249,671641,42837.8746

 bmuta,= 16,= 64,61,235064,444031,724037,62,19881,384823,721935,59592.382

 bmuta,= 16,= 64,60,235064,438848,725601,60,19881,374112,722313,74911.6802

 bmuta,= 16,= 64, bmuta,= 16,= 64,60,235064,447611,726078,60,19881,380298,719938,60621.9886

 bmuta,= 16,= 64,60,235064,439358,725608,60,19881,375899,721583,62650.0016

 bmuta,= 16,= 64,48,716039,721137,725256,63,19881,322568,643679,38142.2445

 bmuta,= 16,= 64,51,716152,721115,725272,61,19881,319835,643679,47985.9076

 bmuta,= 16,= 64,60,417633,504586,724518,62,19881,329084,664715,51464.7299

 bmuta,= 16,= 64,63,346536,465693,725175,63,19881,339857,694587,62181.9986

 bmuta,= 16,= 64,61,346536,457195,725104,63,19881,338391,694587,52197.9346

 bmuta,= 16,= 64,62,346536,461491,724815,62,19881,335387,694587,74942.8804

 bmuta,= 16,= 64,61,346536,457178,724791,61,19881,330438,694587,56987.1653

 bmuta,= 32,= 32,32,359015,361929,364566,32,19880,150559,293832,49717.5187

 bmuta,= 32,= 64,64,299027,349694,366834,64,6489,134791,316514,64459.6132

 bmuta,= 32,= 64,64,299027,349694,366834,64,6489,134791,316514,58671.9761

 bmuta,= 16,= 128,117,111022,431479,734207,120,3710,397833,731603,75083.2813

 bmuta,= 16,= 128,124,111022,435382,735159,125,3710,400705,708749,84006.5385

 bmuta,= 16,= 128, bmuta,= 16,= 128,119,111022,425107,712238,120,3710,389152,709426,23290.9493

 bmuta,= 16,= 128,115,111022,423982,732558,117,3710,389589,730567,23634.1515

 bmuta,= 16,= 128,118,111022,428064,708456,119,3710,393184,708355,25428.163

 bmuta,= 16,= 128,122,370154,512976,734386,124,3710,397357,707986,23883.7531

 bmuta,= 16,= 128,121,81942,440266,734353,121,3710,417225,728080,25537.3637

 bmuta,= 16,= 128,112,646460,712624,732698,120,3710,379387,657271,26738.5714

 bmuta,= 16,= 128,112,643151,701653,731982,125,3710,385271,664504,24055.3542

 bmuta,= 16,= 128,123,370154,510256,681655,123,3710,391457,676545,25006.9603

 bmuta,= 16,= 128,119,370154,513749,733691,121,3710,395182,707090,47517.9046

 bmuta,= 16,= 128,122,370154,513255,733698,123,3710,395631,700841,62681.2018

 bmuta,= 16,= 128,126,370154,515886,687896,127,3710,399446,687795,24195.7551

 bmuta,= 16,= 256, bmuta,= 16,= 256,244,287501,444751,757076,246,1339,303973,742726,29359.3882

 bmuta,= 16,= 256,242,287501,439131,754245,246,1339,292343,752137,27846.1785

 bmuta,= 16,= 256,246,287501,454273,757894,251,1339,313456,748591,27970.9793

 bmuta,= 16,= 256,250,287501,447322,756348,252,1339,311421,752013,27081.7736

 bmuta,= 16,= 256,249,287501,457286,757594,254,1339,316298,737832,27066.1735

 bmuta,= 16,= 256,244,243420,431099,754759,245,1339,329064,748187,27097.3737

 bmuta,= 16,= 256,245,243420,429928,754175,245,1339,328238,749263,31247.0003

 bmuta,= 16,= 256, bmuta,= 16,= 256, bmuta,= 16,= 256, bmuta,= 16,= 256, bmuta,= 16,= 256, bmuta,= 16,= 256,231,152644,398336,753016,234,1339,356224,750539,32370.2075

 bmuta,= 16,= 256,246,152644,409422,755202,246,1339,368955,752179,32838.2105

 bmuta,= 16,= 256,238,152644,400405,753625,238,1339,358662,743185,32791.4102

 bmuta,= 16,= 256,242,152644,405128,753129,244,1339,366634,749226,68266.0376

 bmuta,= 32,= 128,128,281887,341244,370797,128,3092,164280,365343,23946.1535

 bmuta,= 32,= 128,127,281887,341029,370797,128,3092,164280,365343,70418.8514

 bmuta,= 32,= 128, bmuta,= 16,= 256,238,45797,380741,753918,238,1339,367031,751851,33665.0158

 bmuta,= 32,= 128,128,94291,206260,369530,128,3092,169361,368746,28704.184

 bmuta,= 32,= 256,256,66171,219662,381942,256,1,206475,380219,34351.4202

 bmuta,= 32,= 2048,2003,23035,320877,530644,2010,0,267156,513980,56846.7644

 bmuta,= 32,= 2048,1993,23035,318112,529689,2003,0,266271,525583,214875.7774

 bmuta,= 32,= 2048,2010,23035,321033,533743,2019,0,267628,522145,57221.1668

 bmuta,= 32,= 2048,1996,23035,319554,530020,2007,0,266805,521435,59857.5837

 bmuta,= 32,= 2048,2001,23035,319313,529457,2011,0,267539,524466,58484.7749

 bmuta,= 32,= 2048,2003,23035,320657,531038,2012,0,268084,521427,57408.368

 bmuta,= 32,= 2048,2017,23035,322395,533511,2019,0,268456,516076,17160.11

 bmuta,= 128,= 4096,4096,4946,137927,239056,4096,0,64824,196155,26769.7716

 bmuta,= 128,= 4096,4096,4946,137927,239056,4096,0,64824,196155,26176.9678

 bmuta,= 32,= 2048,2018,23035,320810,530859,2026,0,269018,526769,19016.5219

 bmuta,= 32,= 2048,2011,23035,320957,531452,2018,0,268229,521463,18579.7191

 bmuta,= 32,= 256,251,358841,374967,388559,256,1,171699,340757,8564.4549

 bmuta,= 32,= 256,256,358841,375119,388863,256,1,171699,340757,8002.8513

 bmuta,= 32,= 256,253,358841,374962,388463,256,1,171699,340757,8236.8528

 bmuta,= 32,= 256,254,358841,374989,388405,256,1,171699,340757,8626.8553

 bmuta,= 32,= 256,255,358841,375039,388549,256,1,171699,340757,8767.2562

 bmuta,= 32,= 128,128,358614,368076,377306,128,3092,163571,321424,8127.6521

 bmuta,= 16,= 32,25,716293,718271,720346,30,6078,270437,618063,20077.3287

 bmuta,= 16,= 32,28,716031,718445,720928,32,6078,284109,618063,20919.7341

 bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32,26,716031,718691,720907,32,6078,284109,618063,22916.5469

 bmuta,= 16,= 32, bmuta,= 16,= 32,28,716031,718353,720791,31,6078,277107,618063,16161.7036

 bmuta,= 16,= 32,31,69561,395946,720417,32,6078,305253,672101,14913.6956

 bmuta,= 16,= 32,31,69561,390200,720334,31,6078,293430,652736,28626.1835

 bmuta,= 16,= 32, bmuta,= 16,= 32,31,69561,395961,720417,32,6078,305253,672101,33072.212

 bmuta,= 16,= 32, bmuta,= 16,= 32,30,69561,385125,720381,31,6078,296072,672101,14398.8923

 bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32,31,69561,390205,720506,31,6078,294040,671641,18408.118

 bmuta,= 16,= 32, bmuta,= 16,= 32,31,69561,390208,720554,31,6078,296270,671641,10264.8658

 bmuta,= 16,= 32, bmuta,= 16,= 32,30,69561,391141,720339,31,6078,299004,671057,40295.0583

 bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32,32,69561,400523,720566,32,6078,305249,671641,16177.3037

 bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32,31,69561,395946,720417,32,6078,305253,672101,22417.3437

 bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32,30,69561,385118,720436,31,6078,299023,671403,13837.2887

 bmuta,= 16,= 32, bmuta,= 16,= 32,30,69561,385129,720417,31,6078,296275,672101,15756.101

 bmuta,= 16,= 32,31,69561,390200,720334,31,6078,293430,652736,16770.1075

 bmuta,= 16,= 32, bmuta,= 16,= 32,30,69561,379205,720518,31,6078,296068,671641,13774.8883

 bmuta,= 16,= 32, bmuta,= 16,= 32,30,69561,385125,720381,31,6078,296072,672101,19125.7226

 bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32,30,69561,379207,720506,31,6078,294040,671641,13213.2847

 bmuta,= 16,= 32, bmuta,= 16,= 32,31,69561,390200,720334,31,6078,293430,652736,17409.7116

 bmuta,= 16,= 32,31,69561,390200,720334,31,6078,293430,652736,40575.8601

 bmuta,= 16,= 32, bmuta,= 16,= 32,30,69561,379194,720294,30,6078,285011,652736,7456.8478

 bmuta,= 16,= 32,30,69561,379194,720294,30,6078,285011,652736,7144.8458

 bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32,31,69561,387869,720061,31,6078,295497,649651,15038.4964

 bmuta,= 16,= 32,31,69561,395977,720417,32,6078,305253,672101,15132.097

 bmuta,= 16,= 32,31,69561,390200,720334,31,6078,293430,652736,7222.8463

 bmuta,= 16,= 32,29,69561,373504,720170,30,6078,291043,671102,7737.6496

 bmuta,= 32,= 2048,2009,928,334774,524927,2011,0,332603,524393,91416.586

 bmuta,= 32,= 2048,2008,7037,313580,526949,2009,0,301368,525377,85519.7482

 bmuta,= 16,= 32,27,716031,718195,720284,29,6078,259126,618063,34070.6184

 bmuta,= 16,= 32,27,716031,718279,720701,31,6078,277137,618063,7191.6461

 bmuta,= 16,= 32,26,716031,718288,720674,30,6078,270962,618063,7098.0455

 bmuta,= 16,= 32,28,716031,718472,720928,32,6078,284109,618063,7347.6471

 bmuta,= 16,= 32,24,716031,718165,719946,32,6078,284109,618063,7956.051

 bmuta,= 16,= 32,23,716031,718144,719764,31,6078,278336,618063,7098.0455

 bmuta,= 16,= 32,32,69561,400523,720566,32,6078,305249,671641,7628.4489

 bmuta,= 32,= 2048,2013,7037,312062,528083,2013,0,301515,528019,23290.9493

 bmuta,= 32,= 2048,2012,4132,323549,525025,2013,0,312947,522937,24242.5554

 bmuta,= 32,= 2048,1998,4132,323081,523916,2000,0,312607,520550,21699.7391

 bmuta,= 32,= 2048,2000,4132,321473,525654,2000,0,311024,521460,23119.3482

 bmuta,= 32,= 2048,2007,4132,323686,524394,2007,0,313622,521874,22432.9438

 bmuta,= 32,= 2048,2008,4132,323055,526464,2011,0,312294,524222,19702.9263

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,35989.4307

 liam,= 128,= 4096,4096,60,95843,201716,4096,60,95843,201716,30061.3927

 liam,= 128,= 4096,4096,37,97894,196934,4096,37,97894,196934,30513.7956

 liam,= 32,= 2048,2020,296,270632,577632,2020,296,270632,577632,21044.5349

 bmuta,= 32,= 2048,2006,7037,312143,529343,2007,0,301011,526685,25537.3637

 bmuta,= 32,= 2048,2004,7037,312043,529197,2007,0,300279,526264,26332.9688

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,39546.2535

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,47595.9051

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,43555.4792

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,45380.6909

 bmuta,= 32,= 2048,1994,7037,312102,528646,1997,0,301137,525133,27955.3792

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,41324.6649

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,43976.6819

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,41714.6674

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,40248.258

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,42822.2745

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,38282.6454

 bmuta,= 32,= 2048,1996,7037,309868,528927,2000,0,299321,524068,25256.5619

 bmuta,= 32,= 2048,2008,2689,336170,522880,2008,0,331682,522522,27034.9733

 bmuta,= 128,= 4096,4096,1031,165020,263009,4096,0,155171,258422,64256.8119

 bmuta,= 128,= 4096,4096,3604,155795,260248,4096,0,100594,236448,41433.8656

 bmuta,= 128,= 4096,4096,3604,155795,260248,4096,0,100594,236448,46722.2995

 bmuta,= 128,= 4096,4096,3604,155795,260248,4096,0,100594,236448,42307.4712

 bmuta,= 128,= 4096,4096,3604,155795,260248,4096,0,100594,236448,44569.4857

 bmuta,= 128,= 4096,4096,3604,155795,260248,4096,0,100594,236448,42681.8736

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,40482.2595

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,42416.6719

 bmuta,= 128,= 4096,4096,2792,152000,244790,4096,0,120689,240495,40653.8606

 liam,= 128,= 4096,4096,36,97343,196716,4096,36,97343,196716,29125.3867

 liam,= 128,= 4096,4096,74,99187,196684,4096,74,99187,196684,29421.7886

 liam,= 16,= 32,29,5145,396670,850743,29,5145,396670,850743,10857.6696

 bmuta,= 16,= 32,26,716031,718342,720700,31,6078,280067,618063,8408.4539

 bmuta,= 16,= 32,32,69561,400523,720566,32,6078,305249,671641,8689.2557

 bmuta,= 128,= 4096,4096,1859,152093,240526,4096,0,136360,230942,44912.6879

 bmuta,= 128,= 4096,4096,1859,152093,240526,4096,0,136360,230942,47517.9046

 bmuta,= 128,= 4096,4096,1859,152093,240526,4096,0,136360,230942,50637.9246

 bmuta,= 128,= 4096,4096,3001,153415,242953,4096,0,116525,213092,39437.0528

 bmuta,= 128,= 4096,4096,3001,153415,242953,4096,0,116525,213092,44117.0828

 bmuta,= 128,= 4096,4096,4329,150173,253157,4096,0,83280,238094,38813.0488

 bmuta,= 128,= 4096,3260,5984,119824,194430,4096,0,53905,158625,31262.6004

 bmuta,= 128,= 4096,3260,5984,119824,194430,4096,0,53905,158625,30669.7966

 bmuta,= 128,= 4096,4096,4946,137927,239056,4096,0,64824,196155,35443.4272

